iter	Passed	Remaining
0	154	154813
1	169	84421
2	172	57454
3	180	45062
4	189	37738
5	197	32795
6	206	29237
7	214	26555
8	222	24483
9	230	22807
10	238	21429
11	246	20308
12	255	19360
13	262	18515
14	270	17792
15	278	17152
16	286	16592
17	295	16099
18	304	15730
19	313	15355
20	321	14977
21	329	14638
22	338	14373
23	346	14088
24	354	13826
25	362	13585
26	371	13398
27	380	13194
28	388	12997
29	396	12821
30	404	12643
31	412	12468
32	420	12319
33	428	12170
34	436	12032
35	444	11900
36	452	11773
37	460	11658
38	468	11550
39	476	11445
40	484	11343
41	492	11240
42	501	11160
43	509	11069
44	517	10985
45	525	10902
46	533	10816
47	541	10746
48	549	10671
49	557	10596
50	565	10528
51	573	10455
52	581	10391
53	589	10333
54	597	10270
55	605	10212
56	613	10152
57	621	10094
58	629	10035
59	637	9983
60	645	9935
61	653	9885
62	661	9837
63	669	9791
64	678	9759
65	686	9714
66	694	9672
67	703	9635
68	711	9593
69	719	9552
70	726	9511
71	734	9472
72	742	9432
73	750	9396
74	759	9361
75	767	9327
76	775	9298
77	783	9266
78	792	9234
79	800	9200
80	807	9165
81	815	9134
82	823	9103
83	831	9069
84	839	9039
85	847	9009
86	855	8981
87	864	8955
88	872	8929
89	880	8902
90	888	8875
91	896	8845
92	904	8818
93	911	8789
94	919	8762
95	927	8737
96	935	8711
97	944	8691
98	952	8664
99	960	8643
100	968	8620
101	976	8598
102	984	8572
103	992	8551
104	1000	8530
105	1008	8504
106	1016	8484
107	1024	8460
108	1032	8440
109	1040	8418
110	1048	8395
111	1056	8374
112	1064	8355
113	1072	8333
114	1080	8316
115	1088	8294
116	1096	8277
117	1104	8256
118	1112	8237
119	1120	8219
120	1128	8199
121	1136	8180
122	1144	8160
123	1152	8141
124	1160	8121
125	1168	8104
126	1176	8085
127	1184	8069
128	1192	8050
129	1200	8034
130	1208	8019
131	1217	8003
132	1225	7988
133	1233	7971
134	1241	7955
135	1249	7939
136	1258	7924
137	1266	7908
138	1274	7893
139	1282	7876
140	1290	7860
141	1298	7844
142	1306	7828
143	1314	7812
144	1322	7797
145	1330	7780
146	1338	7764
147	1346	7748
148	1354	7733
149	1361	7717
150	1369	7700
151	1377	7684
152	1385	7668
153	1393	7653
154	1401	7639
155	1409	7626
156	1417	7613
157	1425	7598
